row_index,length,pct_A,pct_T,pct_C,pct_G,first_50_pA,first_50_pT,first_50_pC,first_50_pG,last_50_pA,last_50_pT,last_50_pC,last_50_pG
1943,470.0,0.3446808510638298,0.3276595744680851,0.23404255319148937,0.09361702127659574,0.34,0.4,0.22,0.04,0.34,0.3,0.3,0.06
1944,295.0,0.23728813559322035,0.2271186440677966,0.24745762711864408,0.288135593220339,0.24,0.34,0.22,0.2,0.14,0.26,0.32,0.28
1945,420.0,0.3523809523809524,0.1523809523809524,0.15,0.34523809523809523,0.26,0.16,0.2,0.38,0.28,0.12,0.18,0.42
1946,73.0,0.2465753424657534,0.3013698630136986,0.2054794520547945,0.2465753424657534,0.22,0.34,0.14,0.3,0.26,0.28,0.26,0.2
1947,106.0,0.37735849056603776,0.20754716981132076,0.2169811320754717,0.19811320754716982,0.42,0.22,0.2,0.16,0.34,0.18,0.24,0.24
1948,116.0,0.3017241379310345,0.22413793103448276,0.25862068965517243,0.21551724137931033,0.32,0.24,0.32,0.12,0.26,0.26,0.18,0.3
1949,501.0,0.27345309381237526,0.29740518962075846,0.21157684630738524,0.21756487025948104,0.2,0.28,0.22,0.3,0.34,0.24,0.28,0.14
1950,103.0,0.23300970873786409,0.32038834951456313,0.22330097087378642,0.22330097087378642,0.22,0.38,0.16,0.24,0.24,0.28,0.3,0.18
1951,72.0,0.18055555555555555,0.19444444444444445,0.2916666666666667,0.3333333333333333,0.16,0.2,0.22,0.42,0.18,0.18,0.38,0.26
1952,106.0,0.3584905660377358,0.29245283018867924,0.1792452830188679,0.16981132075471697,0.46,0.2,0.2,0.14,0.26,0.38,0.16,0.2
1953,295.0,0.19322033898305085,0.3220338983050847,0.2271186440677966,0.2576271186440678,0.12,0.48,0.1,0.3,0.32,0.28,0.2,0.2
1954,295.0,0.2271186440677966,0.2271186440677966,0.2271186440677966,0.31864406779661014,0.34,0.16,0.26,0.24,0.18,0.24,0.1,0.48
1955,104.0,0.3269230769230769,0.27884615384615385,0.16346153846153846,0.23076923076923078,0.32,0.28,0.12,0.28,0.32,0.3,0.2,0.18
1956,295.0,0.3254237288135593,0.23389830508474577,0.15932203389830507,0.28135593220338984,0.5,0.3,0.12,0.08,0.18,0.32,0.18,0.32
1957,295.0,0.28135593220338984,0.21016949152542372,0.19322033898305085,0.3152542372881356,0.46,0.06,0.06,0.42,0.32,0.26,0.16,0.26
1958,295.0,0.1864406779661017,0.2,0.34915254237288135,0.26440677966101694,0.38,0.14,0.36,0.12,0.12,0.14,0.44,0.3
1959,73.0,0.3150684931506849,0.273972602739726,0.1780821917808219,0.2328767123287671,0.32,0.26,0.18,0.24,0.28,0.3,0.16,0.26
1960,767.0,0.318122555410691,0.28552803129074317,0.19295958279009126,0.2033898305084746,0.24,0.28,0.28,0.2,0.26,0.34,0.16,0.24
1961,295.0,0.2677966101694915,0.288135593220339,0.23389830508474577,0.21016949152542372,0.34,0.3,0.14,0.22,0.38,0.2,0.14,0.28
1962,295.0,0.30847457627118646,0.3016949152542373,0.13898305084745763,0.25084745762711863,0.32,0.3,0.16,0.22,0.34,0.3,0.16,0.2
1963,347.0,0.3659942363112392,0.19596541786743515,0.17579250720461095,0.2622478386167147,0.32,0.18,0.16,0.34,0.5,0.1,0.22,0.18
1964,364.0,0.27197802197802196,0.16483516483516483,0.260989010989011,0.3021978021978022,0.18,0.2,0.42,0.2,0.24,0.16,0.3,0.3
1965,62.0,0.20967741935483872,0.43548387096774194,0.1774193548387097,0.1774193548387097,0.18,0.46,0.18,0.18,0.2,0.44,0.2,0.16
1966,295.0,0.21694915254237288,0.3288135593220339,0.288135593220339,0.16610169491525423,0.2,0.38,0.16,0.26,0.24,0.34,0.26,0.16
1967,295.0,0.18305084745762712,0.17966101694915254,0.27796610169491526,0.3593220338983051,0.24,0.14,0.34,0.28,0.12,0.24,0.36,0.28
1968,765.0,0.33986928104575165,0.2849673202614379,0.19738562091503267,0.17777777777777778,0.28,0.24,0.28,0.2,0.34,0.42,0.1,0.14
1969,86.0,0.18604651162790697,0.2558139534883721,0.26744186046511625,0.29069767441860467,0.12,0.34,0.32,0.22,0.24,0.18,0.2,0.38
1970,153.0,0.20261437908496732,0.2222222222222222,0.28104575163398693,0.29411764705882354,0.2,0.22,0.26,0.32,0.06,0.2,0.4,0.34
1971,774.0,0.19767441860465115,0.15633074935400518,0.33204134366925064,0.313953488372093,0.2,0.04,0.34,0.42,0.34,0.28,0.24,0.14
1972,66.0,0.2727272727272727,0.30303030303030304,0.15151515151515152,0.2727272727272727,0.22,0.36,0.12,0.3,0.3,0.32,0.14,0.24
1973,295.0,0.12542372881355932,0.20677966101694914,0.4,0.2677966101694915,0.12,0.2,0.4,0.28,0.06,0.24,0.54,0.16
1974,295.0,0.22033898305084745,0.28135593220338984,0.25084745762711863,0.24745762711864408,0.18,0.28,0.2,0.34,0.32,0.28,0.14,0.26
1975,947.0,0.19535374868004224,0.28511087645195354,0.3093980992608237,0.21013727560718057,0.22,0.32,0.34,0.12,0.28,0.24,0.14,0.34
1976,295.0,0.23389830508474577,0.3288135593220339,0.19661016949152543,0.24067796610169492,0.42,0.22,0.08,0.28,0.26,0.36,0.22,0.16
1977,295.0,0.34576271186440677,0.2271186440677966,0.21694915254237288,0.21016949152542372,0.22,0.18,0.34,0.26,0.36,0.26,0.16,0.22
1978,127.0,0.16535433070866143,0.25196850393700787,0.2125984251968504,0.3700787401574803,0.12,0.26,0.22,0.4,0.2,0.28,0.16,0.36
1979,61.0,0.18032786885245902,0.2786885245901639,0.3114754098360656,0.22950819672131148,0.18,0.26,0.3,0.26,0.2,0.28,0.32,0.2
1980,297.0,0.26262626262626265,0.23905723905723905,0.2356902356902357,0.26262626262626265,0.18,0.26,0.24,0.32,0.24,0.26,0.28,0.22
1981,240.0,0.18333333333333332,0.20833333333333334,0.31666666666666665,0.2916666666666667,0.18,0.22,0.28,0.32,0.26,0.2,0.34,0.2
1982,295.0,0.3220338983050847,0.24745762711864408,0.18305084745762712,0.24745762711864408,0.26,0.44,0.16,0.14,0.46,0.22,0.22,0.1
1983,295.0,0.16610169491525423,0.20677966101694914,0.3423728813559322,0.2847457627118644,0.14,0.26,0.26,0.34,0.14,0.22,0.36,0.28
1984,152.0,0.21710526315789475,0.24342105263157895,0.2631578947368421,0.27631578947368424,0.12,0.18,0.34,0.36,0.3,0.28,0.14,0.28
1985,295.0,0.27796610169491526,0.26440677966101694,0.18305084745762712,0.2745762711864407,0.42,0.12,0.16,0.3,0.32,0.26,0.2,0.22
1986,295.0,0.2745762711864407,0.24067796610169492,0.29152542372881357,0.19322033898305085,0.2,0.32,0.32,0.16,0.36,0.24,0.2,0.2
